Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,563176,-,-,-,37.78,-122.41,0,24,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,DNI,DHI,GHI,Wind Speed,Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,14,0,10.2,0,0,0,1.4,98.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,15,0,10.3,0,0,0,1.3,97.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,16,0,11.4,391,26,62,1.3,95.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,17,0,12.2,670,48,213,1.4,93.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,18,0,13.1,791,58,352,1.1,91.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,19,0,13.8,1,147,148,1.2,89.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,20,0,14.2,1,146,146,1.2,87.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,21,0,14.7,30,231,245,1.2,85.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,22,0,14.7,18,147,154,1.4,85.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,23,0,14.2,5,84,86,1.5,88.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
